"ID","Journal","Year","All_Data","All_Code","Partial_Code","Appendix","Dryad","Zenodo","Figshare","OSF","Org_Database","Github","Other_Database","Other_Paper","Missing_Appendix","Missing_Broken_Link","Missing_Components","Database_Not_Enough_Info","Model_Code_Only"
1,"BIOLOGICAL CONSERVATION",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"BIOLOGICAL CONSERVATION",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"BIOLOGICAL CONSERVATION",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"BIOLOGICAL CONSERVATION",2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"BIOLOGICAL CONSERVATION",2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,"BIOLOGICAL CONSERVATION",2021,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"BIOLOGICAL CONSERVATION",2021,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"BIOLOGICAL CONSERVATION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"BIOLOGICAL CONSERVATION",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"BIOLOGICAL CONSERVATION",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"BIOLOGICAL CONSERVATION",2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,"BIOLOGICAL CONSERVATION",2022,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
15,"BIOLOGICAL CONSERVATION",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"BIOLOGICAL CONSERVATION",2021,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
17,"BIOLOGICAL CONSERVATION",2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"BIOLOGICAL CONSERVATION",2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19,"BIOLOGICAL CONSERVATION",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
