Journal,Year,Impact_Factor,Data_Required,Code_Required,Notes,Source
BIOLOGICAL CONSERVATION,2018,4.451,0,0,"""Encourages""",
BIOLOGICAL CONSERVATION,2019,4.711,0,0,,https://web.archive.org/web/20191101232532/https://www.elsevier.com/journals/biological-conservation/0006-3207/guide-for-authors#87500
BIOLOGICAL CONSERVATION,2020,5.991,0,0,,https://web.archive.org/web/20191101232532/https://www.elsevier.com/journals/biological-conservation/0006-3207/guide-for-authors#87500
BIOLOGICAL CONSERVATION,2021,7.499,0,0,,https://web.archive.org/web/20191101232532/https://www.elsevier.com/journals/biological-conservation/0006-3207/guide-for-authors#87500
BIOLOGICAL CONSERVATION,2022,5.9,NA,NA,Changed sometime in 2022,https://web.archive.org/web/20221111084215/https://www.elsevier.com/journals/biological-conservation/0006-3207/guide-for-authors#txt87510
CONSERVATION BIOLOGY,2018,6.194,0,0,,
CONSERVATION BIOLOGY,2019,5.405,0,0,,
CONSERVATION BIOLOGY,2020,6.56,0,0,,
CONSERVATION BIOLOGY,2021,7.563,0,0,,
CONSERVATION BIOLOGY,2022,6.3,0,0,"Data sharing just ""encouraged"" as of 2024j",https://conbio.onlinelibrary.wiley.com/hub/journal/15231739/homepage/forauthors.html#5
ECOLOGY,2018,4.285,0,0,Policy changed February 2021,https://www.esa.org/publications/data-policy/
ECOLOGY,2019,4.7,0,0,,
ECOLOGY,2020,5.499,0,0,,
ECOLOGY,2021,6.433,1,1,,
ECOLOGY,2022,4.8,1,1,,
ECOLOGY AND EVOLUTION,2018,2.415,NA,0,,
ECOLOGY AND EVOLUTION,2019,2.392,NA,0,,
ECOLOGY AND EVOLUTION,2020,2.881,1,0,,https://web.archive.org/web/20201128022720/https://onlinelibrary.wiley.com/page/journal/20457758/homepage/forauthors.html
ECOLOGY AND EVOLUTION,2021,3.167,1,0,,https://web.archive.org/web/20211122224221/https://onlinelibrary.wiley.com/page/journal/20457758/homepage/forauthors.html
ECOLOGY AND EVOLUTION,2022,2.6,1,0,Code required ~July 2023,https://web.archive.org/web/20220922022606/https://onlinelibrary.wiley.com/page/journal/20457758/homepage/forauthors.html
ECOSPHERE,2018,2.746,0,0,See policy for Ecology,
ECOSPHERE,2019,2.878,0,0,,
ECOSPHERE,2020,3.171,0,0,,
ECOSPHERE,2021,3.593,1,1,,
ECOSPHERE,2022,2.7,1,1,,
JOURNAL OF WILDLIFE MANAGEMENT,2018,1.881,NA,0,,
JOURNAL OF WILDLIFE MANAGEMENT,2019,2.215,NA,0,,
JOURNAL OF WILDLIFE MANAGEMENT,2020,2.469,NA,0,,
JOURNAL OF WILDLIFE MANAGEMENT,2021,2.586,NA,0,,
JOURNAL OF WILDLIFE MANAGEMENT,2022,2.3,1,0,Does not specifically say code is required,https://wildlife.org/wp-content/uploads/2023/10/TWS_Journal_Submission-Guidelines_Oct2023.pdf
METHODS IN ECOLOGY AND EVOLUTION,2018,7.099,NA,0,,
METHODS IN ECOLOGY AND EVOLUTION,2019,6.514,NA,0,,
METHODS IN ECOLOGY AND EVOLUTION,2020,7.781,1,NA,,https://web.archive.org/web/20191110085009/https://besjournals.onlinelibrary.wiley.com/hub/journal/2041210X/author-guidelines
METHODS IN ECOLOGY AND EVOLUTION,2021,8.335,1,NA,,
METHODS IN ECOLOGY AND EVOLUTION,2022,6.6,1,NA,"Definitely required as of 2023, but not sure before that",
PLOS ONE,2018,2.776,1,0,,https://web.archive.org/web/20171226195313/https://journals.plos.org/plosone/s/data-availability
PLOS ONE,2019,2.74,1,0,,
PLOS ONE,2020,3.24,1,0,,https://journals.plos.org/plosone/s/data-availability
PLOS ONE,2021,3.752,1,0,,
PLOS ONE,2022,3.7,1,0,"Not strictly required as of 2024 - just ""expected""",https://journals.plos.org/plosone/s/materials-software-and-code-sharing
SCIENTIFIC REPORTS,2018,4.011,1,0,,https://web.archive.org/web/20170725153144/https://www.nature.com/srep/journal-policies/editorial-policies#availability
SCIENTIFIC REPORTS,2019,3.998,1,NA,,
SCIENTIFIC REPORTS,2020,4.38,1,NA,,
SCIENTIFIC REPORTS,2021,4.997,1,NA,,
SCIENTIFIC REPORTS,2022,4.6,1,1,,https://web.archive.org/web/20211021092413/https://www.nature.com/srep/journal-policies/editorial-policies#availability
