"ID","Journal","Year","Appendix","Dryad","Zenodo","Figshare","OSF","Org_Database","Github","Other_Database","Other_Paper","Possible_Reproduce","Other","Word","PDF","RMarkdown","Script","Commented","Code_Lines","Libraries","Fixed_Filepaths","All_Code_Runs","Some_Code_Runs","Runtime_Too_Long","Outputs_Match","Depr_Packages","Miss_File","Miss_Library","Miss_Object","Other_Code_Error","Non_CRAN_Package"
21,"BIOLOGICAL CONSERVATION",2022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1254,94,0,0,1,NA,NA,1,0,0,0,0,0
22,"BIOLOGICAL CONSERVATION",2022,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1665,133,0,0,0,NA,NA,0,1,0,0,0,0
26,"BIOLOGICAL CONSERVATION",2021,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,6563,77,0,0,1,NA,NA,1,1,0,0,0,0
27,"BIOLOGICAL CONSERVATION",2019,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2275,63,0,1,0,0,0,0,0,0,0,0,0
35,"BIOLOGICAL CONSERVATION",2020,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,133,21,0,0,0,NA,NA,0,1,0,0,0,0
45,"BIOLOGICAL CONSERVATION",2022,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4084,186,0,1,0,0,1,0,0,0,0,0,0
59,"BIOLOGICAL CONSERVATION",2020,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,181,10,0,0,0,NA,NA,0,1,1,0,0,0
74,"CONSERVATION BIOLOGY",2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,257,30,0,1,0,1,NA,0,0,0,0,0,0
87,"CONSERVATION BIOLOGY",2022,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1677,135,1,0,1,NA,NA,0,0,0,1,0,0
93,"ECOLOGY AND EVOLUTION",2022,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,3228,93,0,1,0,1,NA,0,0,0,0,0,0
94,"ECOLOGY AND EVOLUTION",2022,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2901,151,1,0,1,NA,NA,0,0,1,0,0,0
95,"ECOLOGY AND EVOLUTION",2022,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2196,121,1,1,0,1,NA,0,0,0,0,0,0
96,"ECOLOGY AND EVOLUTION",2021,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,20939,184,0,0,1,NA,NA,1,0,0,0,0,0
103,"ECOLOGY AND EVOLUTION",2022,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1520,0,0,0,0,NA,NA,1,1,0,0,0,0
106,"ECOLOGY AND EVOLUTION",2021,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2246,140,0,0,0,1,NA,0,0,0,1,0,0
108,"ECOLOGY AND EVOLUTION",2022,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1605,10,0,0,1,1,NA,0,0,0,1,0,0
112,"ECOLOGY AND EVOLUTION",2022,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,483,7,0,1,0,1,NA,0,0,0,0,0,0
117,"ECOLOGY AND EVOLUTION",2018,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,222,9,0,1,0,1,NA,0,0,0,0,0,0
119,"ECOLOGY AND EVOLUTION",2022,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,580,9,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
122,"ECOLOGY AND EVOLUTION",2021,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,739,35,0,1,0,1,NA,0,0,0,0,0,0
123,"ECOLOGY AND EVOLUTION",2022,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,866,60,1,0,1,NA,NA,0,0,0,0,1,0
127,"ECOLOGY AND EVOLUTION",2022,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,5906,47,1,0,1,NA,NA,0,1,0,0,0,0
128,"ECOLOGY AND EVOLUTION",2019,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,622,55,0,1,0,0,1,0,0,0,0,0,0
130,"ECOLOGY AND EVOLUTION",2020,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1043,32,1,0,0,NA,NA,0,0,0,0,1,0
132,"ECOLOGY AND EVOLUTION",2019,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1169,15,0,0,1,NA,NA,0,0,0,1,0,0
137,"ECOLOGY AND EVOLUTION",2019,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1126,74,0,1,0,0,1,0,0,0,0,0,0
141,"ECOLOGY AND EVOLUTION",2021,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,375,10,0,0,1,NA,NA,0,0,0,0,1,0
147,"ECOLOGY AND EVOLUTION",2019,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,338,8,0,0,0,NA,NA,0,0,0,0,1,0
148,"ECOLOGY AND EVOLUTION",2019,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,4750,51,0,1,0,1,NA,0,0,0,0,0,0
150,"ECOLOGY AND EVOLUTION",2020,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,7957,159,0,0,1,NA,NA,0,1,0,0,0,0
153,"ECOLOGY AND EVOLUTION",2018,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,250,17,0,0,1,NA,NA,0,0,0,1,0,0
155,"ECOLOGY AND EVOLUTION",2021,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,551,1,0,0,0,NA,NA,0,1,0,0,0,0
156,"ECOLOGY AND EVOLUTION",2020,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,53,43,0,0,0,NA,NA,1,0,0,0,0,0
160,"ECOLOGY AND EVOLUTION",2022,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1538,99,0,1,0,0,1,0,0,0,0,0,0
164,"ECOLOGY AND EVOLUTION",2020,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,124,41,0,1,0,1,NA,0,0,0,0,0,0
165,"ECOLOGY AND EVOLUTION",2019,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,684,62,0,0,0,NA,NA,0,1,0,0,0,1
166,"ECOLOGY AND EVOLUTION",2022,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,654,78,0,1,0,1,NA,0,0,0,0,0,0
